idiom	alts
brick_and_mortar	"[""brick-and-mortar"", ""bricks and mortar"", ""bricks-and-mortar""]"
brick_by_brick	[]
bricks_and_mortar	[]
bridge_the_gap	[]
bright_and_early	[]
bright-line_rule	[]
bring_home_the_bacon	[]
bring_to_a_boil	"[""bring to the boil"", ""come to a boil""]"
bring_to_justice	[]
bring_to_light	[]
bring_to_the_table	[]
broad_shoulders	[]
broaden_someone's_horizons	[]
broken-hearted	[]
buck_the_trend	[]
bump_and_grind	"[""bump-and-grind"", ""bump-n'-grind"", ""bump n' grind""]"
bump_in_the_road	"[""bump on the road""]"
bundle_of_energy	[]
bundle_of_nerves	[]
buried_treasure	[]
burst_into_tears	[]
burst_out_laughing	[]
burst_someone's_bubble	"[""bust someone's bubble"", ""pop someone's balloon""]"
bury_one's_head_in_the_sand	[]
bury_the_hatchet	[]
business_as_usual	"[""business-as-usual""]"
button-down	"[""buttoned-down""]"
buttoned-down	[]
by_a_long_shot	[]
by_all_accounts	[]
by_any_stretch_of_the_imagination	[]
by_hook_or_by_crook	[]
by_one's_own_hand	[]
by_the_numbers	"[""by-the-numbers""]"
by_the_same_token	[]
by_the_skin_of_one's_teeth	[]
by-the-book	[]
by-the-numbers	[]
call_a_spade_a_spade	"[""call a spade a spade and a shovel a shovel"", ""call a shovel a shovel""]"
call_it_a_night	[]
call_someone's_bluff	[]
call_the_shots	[]
calm_before_the_storm	[]
can't_get_enough	[]
captain's_pick	[]
carrot_and_stick	"[""stick and carrot""]"
carved_in_stone	[]
cast_aspersions	[]
cast_one's_vote	[]
cast_the_first_stone	[]
cat-and-mouse	[]
catch_of_the_day	[]
catch_sight_of	[]
catch_someone's_eye	[]
caught_on_the_hop	[]
caught_stealing	[]
caught_with_one's_pants_down	[]
cease_and_desist	[]
chain_reaction	[]
change_of_heart	[]
change_of_life	[]
change_of_tack	[]
change_one's_mind	[]
change_one's_tune	[]
change_someone's_mind	[]
change_the_channel	[]
character_assassination	[]
charm_offensive	[]
check_and_balance	[]
checks_and_balances	[]
chemical_imbalance	[]
cherry-pick	"[""cherry pick"", ""cherrypick""]"
childhood_friend	[]
